Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name
ENSG00000250827,MFSD4BP1,,
ENSG00000280321,,,
ENSG00000067221,STOML1,ENSMUSG00000032333,Stoml1
ENSG00000131482,G6PC1,ENSMUSG00000078650,G6pc1
ENSG00000122870,BICC1,ENSMUSG00000014329,Bicc1
ENSG00000157570,TSPAN18,ENSMUSG00000027217,Tspan18
ENSG00000113319,RASGRF2,ENSMUSG00000021708,Rasgrf2
ENSG00000287992,,,
ENSG00000275773,,,
ENSG00000216904,SOCS5P5,,
ENSG00000287499,,,
ENSG00000220695,,,
ENSG00000218986,ANKRD39P1,,
ENSG00000288084,,,
ENSG00000253825,,,
ENSG00000008196,TFAP2B,ENSMUSG00000025927,Tfap2b
ENSG00000216425,PIMREGP2,,
ENSG00000270020,,,
ENSG00000272249,,,
ENSG00000174599,TRAM1L1,ENSMUSG00000044528,Tram1l1
ENSG00000147669,POLR2K,ENSMUSG00000045996,Polr2k
ENSG00000226158,CLCP2,,
ENSG00000184939,ZFP90,ENSMUSG00000031907,Zfp90
ENSG00000198824,CHAMP1,ENSMUSG00000047710,Champ1
ENSG00000286637,,,
ENSG00000230671,NDUFS5P5,,
ENSG00000249171,,,
ENSG00000244470,RPL6P14,,
ENSG00000249985,,,
ENSG00000249283,ACTR3BP4,,
ENSG00000182271,TMIGD1,ENSMUSG00000020839,Tmigd1
ENSG00000269885,VN1R79P,,
ENSG00000251309,,,
ENSG00000225094,SETP20,,
ENSG00000268995,VN1R82P,,
ENSG00000221900,POM121L12,ENSMUSG00000084135,Pom121l12
ENSG00000268184,,,
ENSG00000268597,,,
ENSG00000286404,,,
ENSG00000215720,MFFP1,,
ENSG00000230271,,,
ENSG00000082293,COL19A1,ENSMUSG00000026141,Col19a1
ENSG00000105662,CRTC1,ENSMUSG00000003575,Crtc1
ENSG00000225286,,,
ENSG00000241326,,,
ENSG00000138777,PPA2,ENSMUSG00000028013,Ppa2
ENSG00000223893,GNL2P1,,
ENSG00000224519,HMGN1P19,,
ENSG00000233623,PGAM1P11,,
ENSG00000270474,IGHV3-29,,
ENSG00000106524,ANKMY2,ENSMUSG00000036188,Ankmy2
ENSG00000100744,GSKIP,ENSMUSG00000044715,Gskip
ENSG00000204624,DISP3,ENSMUSG00000041544,Disp3
ENSG00000260615,RPL23AP97,,
ENSG00000288248,ST13P5,,
ENSG00000289814,,,
ENSG00000235366,LINC01055,,
ENSG00000288411,SAA1,,
ENSG00000276540,REXO1L10P,,
ENSG00000123124,WWP1,ENSMUSG00000041058,Wwp1
ENSG00000182551,ADI1,ENSMUSG00000020629,Adi1
ENSG00000102471,NDFIP2,ENSMUSG00000053253,Ndfip2
ENSG00000149600,COMMD7,ENSMUSG00000056941,Commd7
ENSG00000226578,,,
ENSG00000213609,RPL7AP50,,
ENSG00000229485,KSR1P1,,
ENSG00000226646,RPL7P37,,
ENSG00000105988,NHP2P1,,
ENSG00000287732,,,
ENSG00000228828,TLK2P2,,
ENSG00000237579,LINC01514,,
ENSG00000232563,CRB3P1,,
ENSG00000259073,FOXN3-AS2,,
ENSG00000232958,MTARC2P1,,
ENSG00000231482,,,
ENSG00000211942,IGHV3-13,ENSMUSG00000094951,Ighv5-6
ENSG00000211942,IGHV3-13,ENSMUSG00000096407,Ighv6-5
ENSG00000211942,IGHV3-13,ENSMUSG00000076680,Ighv6-6
ENSG00000211942,IGHV3-13,ENSMUSG00000094533,Ighv11-1
ENSG00000211942,IGHV3-13,ENSMUSG00000076677,Ighv6-3
ENSG00000211942,IGHV3-13,ENSMUSG00000095612,Ighv5-4
ENSG00000211942,IGHV3-13,ENSMUSG00000095429,Ighv5-12
ENSG00000211942,IGHV3-13,ENSMUSG00000087582,Ighv6-7
ENSG00000211942,IGHV3-13,ENSMUSG00000076633,Ighv5-2
ENSG00000211942,IGHV3-13,ENSMUSG00000095981,Ighv10-1
ENSG00000211942,IGHV3-13,ENSMUSG00000103033,Ighv5-12-4
ENSG00000211942,IGHV3-13,ENSMUSG00000095571,Ighv5-17
ENSG00000211942,IGHV3-13,ENSMUSG00000094194,Ighv5-16
ENSG00000211942,IGHV3-13,ENSMUSG00000095285,Ighv5-9
ENSG00000211942,IGHV3-13,ENSMUSG00000094134,Ighv5-15
ENSG00000211942,IGHV3-13,ENSMUSG00000096108,Ighv11-2
ENSG00000211942,IGHV3-13,ENSMUSG00000094174,Ighv6-4
ENSG00000211942,IGHV3-13,ENSMUSG00000076661,Ighv16-1
ENSG00000211942,IGHV3-13,ENSMUSG00000095700,Ighv10-3
ENSG00000211942,IGHV3-13,ENSMUSG00000095210,Ighv5-9-1
ENSG00000211942,IGHV3-13,ENSMUSG00000076655,Ighv4-1
ENSG00000126581,BECN1,ENSMUSG00000035086,Becn1
ENSG00000228391,,,
ENSG00000144455,SUMF1,ENSMUSG00000030101,Sumf1
ENSG00000281245,STKLD1,,
ENSG00000232075,MRPL35P2,,
ENSG00000227032,RPS2P36,,
ENSG00000225234,TRAPPC12-AS1,,
ENSG00000270075,,,
ENSG00000271201,,,
ENSG00000233900,RPL17P35,,
ENSG00000227851,,,
ENSG00000235403,,,
ENSG00000253587,IGHV3-30-2,,
ENSG00000253345,IGHVII-22-1,,
ENSG00000253462,IGHVIII-26-1,,
ENSG00000283766,,,
ENSG00000166167,BTRC,ENSMUSG00000025217,Btrc
ENSG00000227007,LINC01247,,
ENSG00000172554,SNTG2,ENSMUSG00000020672,Sntg2
ENSG00000101349,PAK5,ENSMUSG00000039913,Pak5
ENSG00000126777,KTN1,ENSMUSG00000021843,Ktn1
ENSG00000254772,EEF1G,ENSMUSG00000071644,Eef1g
ENSG00000146731,CCT6A,ENSMUSG00000029447,Cct6a
ENSG00000280706,REXO4,,
ENSG00000288479,RNA5SP334,,
ENSG00000288445,HPS5,,
ENSG00000166862,CACNG2,ENSMUSG00000019146,Cacng2
ENSG00000287010,,,
ENSG00000261458,,,
ENSG00000142606,MMEL1,ENSMUSG00000058183,Mmel1
ENSG00000280278,FLJ30679,,
ENSG00000100191,SLC5A4,ENSMUSG00000020226,Slc5a4b
ENSG00000100191,SLC5A4,ENSMUSG00000020229,Slc5a4a
ENSG00000268473,,,
ENSG00000140948,ZCCHC14,ENSMUSG00000061410,Zcchc14
ENSG00000125787,GNRH2,,
ENSG00000268438,BNIP3P27,,
ENSG00000268272,VN1R78P,,
ENSG00000197134,ZNF257,,
ENSG00000231744,,,
ENSG00000136942,RPL35,ENSMUSG00000062997,Rpl35
ENSG00000136942,RPL35,ENSMUSG00000078193,Rpl35rt
ENSG00000133424,LARGE1,ENSMUSG00000004383,Large1
ENSG00000219863,RPL31P28,,
ENSG00000230852,LINC02857,,
ENSG00000255508,,,
ENSG00000125888,BANF2,ENSMUSG00000037307,Banf2
ENSG00000259545,RPL15P19,,
ENSG00000111912,NCOA7,ENSMUSG00000039697,Ncoa7
ENSG00000279404,,,
ENSG00000081014,AP4E1,ENSMUSG00000001998,Ap4e1
ENSG00000196350,ZNF729,,
ENSG00000234796,,,
ENSG00000272002,LINC02973,,
ENSG00000171865,RNASEH1,ENSMUSG00000020630,Rnaseh1
ENSG00000268116,,,
ENSG00000275919,,,
ENSG00000231981,RPL7L1P12,,
ENSG00000207298,RNU6-83P,,
ENSG00000227412,STK33P1,,
ENSG00000271182,CPSF6P1,,
ENSG00000228248,NUTF2P3,,
ENSG00000260992,DOCK9-DT,,
ENSG00000205133,TRIQK,ENSMUSG00000055963,Triqk
ENSG00000215210,RBMXP2,,
ENSG00000226047,,,
ENSG00000230871,RPS6P23,,
ENSG00000268117,VN1R84P,,
ENSG00000275017,,,
ENSG00000241697,TMEFF1,ENSMUSG00000028347,Tmeff1
ENSG00000167487,KLHL26,ENSMUSG00000055707,Klhl26
ENSG00000088387,DOCK9,ENSMUSG00000025558,Dock9
ENSG00000250659,,,
ENSG00000150636,CCDC102B,,
ENSG00000148950,IMMP1L,ENSMUSG00000042670,Immp1l
ENSG00000101160,CTSZ,ENSMUSG00000016256,Ctsz
ENSG00000271095,BNIP3P28,,
ENSG00000135686,KLHL36,ENSMUSG00000031828,Klhl36
ENSG00000064545,TMEM161A,ENSMUSG00000002342,Tmem161a
ENSG00000281244,ADAMTS13,,
ENSG00000234269,,,
ENSG00000223918,,,
ENSG00000135070,ISCA1,ENSMUSG00000078139,AK157302
ENSG00000135070,ISCA1,ENSMUSG00000044792,Isca1
ENSG00000249835,VCAN-AS1,,
ENSG00000287126,,,
ENSG00000271868,,,
ENSG00000227047,,,
ENSG00000254310,,,
ENSG00000213854,CNN2P6,,
ENSG00000171863,RPS7,ENSMUSG00000061477,Rps7
ENSG00000212930,,,
ENSG00000179342,,,
ENSG00000250662,HNRNPKP5,,
ENSG00000275295,,,
ENSG00000223377,,,
ENSG00000226414,MTCYBP38,,
ENSG00000229269,,,
ENSG00000176563,CNTD1,ENSMUSG00000078653,Cntd1
ENSG00000224732,MAGEA7P,,
ENSG00000144642,RBMS3,ENSMUSG00000039607,Rbms3
ENSG00000168404,MLKL,ENSMUSG00000012519,Mlkl
ENSG00000238039,,,
ENSG00000231484,,,
ENSG00000271687,MTND5P10,,
ENSG00000225110,PNMA6F,ENSMUSG00000096966,Pnma6e
ENSG00000225110,PNMA6F,ENSMUSG00000109368,Gm45015
ENSG00000224368,ARAFP2,,
ENSG00000113384,GOLPH3,ENSMUSG00000022200,Golph3
ENSG00000197021,EOLA2,ENSMUSG00000045237,Eola1
ENSG00000255690,TRIL,ENSMUSG00000043496,Tril
ENSG00000053747,LAMA3,ENSMUSG00000024421,Lama3
ENSG00000136274,NACAD,ENSMUSG00000041073,Nacad
ENSG00000107447,DNTT,ENSMUSG00000025014,Dntt
ENSG00000130349,MTRES1,ENSMUSG00000019797,Mtres1
ENSG00000139626,ITGB7,ENSMUSG00000001281,Itgb7
ENSG00000160563,MED27,ENSMUSG00000026799,Med27
ENSG00000236261,,,
ENSG00000250923,,,
ENSG00000238000,PSME2P1,,
ENSG00000251451,GTF2IP9,,
ENSG00000205029,OR5D16,ENSMUSG00000075145,Or5d16
ENSG00000189127,ANKRD34B,ENSMUSG00000045034,Ankrd34b
ENSG00000238090,,,
ENSG00000254914,,,
ENSG00000176971,FIBIN,ENSMUSG00000074971,Fibin
ENSG00000146729,NIPSNAP2,ENSMUSG00000029432,Nipsnap2
ENSG00000197566,ZNF624,,
ENSG00000255431,OR5B19P,,
ENSG00000270934,,,
ENSG00000255446,,,
ENSG00000224384,,,
ENSG00000220537,,,
ENSG00000219500,,,
ENSG00000146250,PRSS35,ENSMUSG00000033491,Prss35
ENSG00000261340,LINC01616,,
ENSG00000242689,CNTF,ENSMUSG00000079415,Cntf
ENSG00000220635,KRASP1,,
ENSG00000282218,,,
ENSG00000232299,,,
ENSG00000217769,,,
ENSG00000286663,,,
ENSG00000216663,,,
ENSG00000112305,SMAP1,ENSMUSG00000026155,Smap1
ENSG00000169519,METTL15,ENSMUSG00000057234,Mettl15
ENSG00000260387,,,
ENSG00000250273,PSMC1P5,,
ENSG00000236447,ATG10-IT1,,
ENSG00000112874,NUDT12,ENSMUSG00000024228,Nudt12
ENSG00000005194,CIAPIN1,ENSMUSG00000031781,Ciapin1
ENSG00000214626,POLR3DP1,,
ENSG00000224498,MAPKAPK5P1,,
ENSG00000236626,MTND5P17,,
ENSG00000224301,,,
ENSG00000230609,COX7CP4,,
ENSG00000205433,SNRPGP6,,
ENSG00000236514,ZNF248-AS1,,
ENSG00000225931,,,
ENSG00000148468,FAM171A1,ENSMUSG00000050530,Fam171a1
ENSG00000264837,VN1R71P,,
ENSG00000171729,TMEM51,ENSMUSG00000040616,Tmem51
ENSG00000126562,WNK4,ENSMUSG00000035112,Wnk4
ENSG00000165775,FUNDC2,ENSMUSG00000031198,Fundc2
ENSG00000165775,FUNDC2,ENSMUSG00000074619,Fundc2b
ENSG00000248733,,,
ENSG00000151379,MSGN1,ENSMUSG00000047002,Msgn1
ENSG00000062194,GPBP1,ENSMUSG00000032745,Gpbp1
ENSG00000100298,APOBEC3H,ENSMUSG00000009585,Apobec3
ENSG00000285740,,,
ENSG00000179241,LDLRAD3,ENSMUSG00000048058,Ldlrad3
ENSG00000163029,SMC6,ENSMUSG00000020608,Smc6
ENSG00000222612,RNU2-52P,,
ENSG00000189180,ZNF33A,,
ENSG00000198900,TOP1,ENSMUSG00000070544,Top1
ENSG00000136950,ARPC5L,ENSMUSG00000026755,Arpc5l
ENSG00000229393,,,
ENSG00000287586,,,
ENSG00000227169,,,
ENSG00000283356,,,
ENSG00000227779,NDUFB3P5,,
ENSG00000241769,EOLA1-DT,,
ENSG00000157916,RER1,ENSMUSG00000029048,Rer1
ENSG00000288114,GTF2H1,,
ENSG00000264448,MIR378D2HG,,
ENSG00000271028,,,
ENSG00000250637,,,
ENSG00000279395,OR5L1,ENSMUSG00000075143,Or5l14
ENSG00000279395,OR5L1,ENSMUSG00000075144,Or5l13
ENSG00000147872,PLIN2,ENSMUSG00000028494,Plin2
ENSG00000255505,,,
ENSG00000132749,TESMIN,ENSMUSG00000024905,Tesmin
ENSG00000240509,RPL34P18,,
ENSG00000184672,RALYL,ENSMUSG00000039717,Ralyl
ENSG00000146733,PSPH,ENSMUSG00000029446,Psph
ENSG00000251463,FKBP4P1,,
ENSG00000224062,TUBB4BP5,,
ENSG00000250627,TTC39CP1,,
ENSG00000223979,SMCR2,,
ENSG00000033178,UBA6,ENSMUSG00000035898,Uba6
ENSG00000197683,KRTAP26-1,ENSMUSG00000071471,Krtap26-1
ENSG00000108848,LUC7L3,ENSMUSG00000020863,Luc7l3
ENSG00000214925,RPL36AP52,,
ENSG00000206107,KRTAP27-1,ENSMUSG00000090515,Krtap27-1
ENSG00000197620,EOLA1,ENSMUSG00000045237,Eola1
ENSG00000220553,RPL5P19,,
ENSG00000217404,RPS4XP9,,
ENSG00000250973,KRTAP13-6P,,
ENSG00000182816,KRTAP13-2,ENSMUSG00000056350,Krtap13-1
ENSG00000265007,MIR4327,,
ENSG00000198390,KRTAP13-1,ENSMUSG00000056350,Krtap13-1
ENSG00000118402,ELOVL4,ENSMUSG00000032262,Elovl4
ENSG00000233640,KRTAP13-5P,,
ENSG00000186970,KRTAP15-1,ENSMUSG00000022931,Krtap15-1
ENSG00000184351,KRTAP19-1,,
ENSG00000186965,KRTAP19-2,,
ENSG00000244025,KRTAP19-3,,
ENSG00000268892,,,
ENSG00000186967,KRTAP19-4,,
ENSG00000223912,EEF1A1P36,,
ENSG00000269796,,,
ENSG00000186977,KRTAP19-5,,
ENSG00000170162,VGLL2,ENSMUSG00000049641,Vgll2
ENSG00000237841,KRTAP19-9P,,
ENSG00000235312,KRTAP19-10P,,
ENSG00000218125,,,
ENSG00000236612,KRTAP19-11P,,
ENSG00000186925,KRTAP19-6,,
ENSG00000244362,KRTAP19-7,,
ENSG00000105676,ARMC6,ENSMUSG00000002343,Armc6
ENSG00000206106,KRTAP22-2,,
ENSG00000230967,,,
ENSG00000186924,KRTAP22-1,,
ENSG00000213260,YWHAZP5,,
ENSG00000148834,GSTO1,ENSMUSG00000025068,Gsto1
ENSG00000173227,SYT12,ENSMUSG00000049303,Syt12
ENSG00000244624,KRTAP20-1,,
ENSG00000206105,KRTAP20-4,,
ENSG00000185264,CIMIP4,ENSMUSG00000062154,Cimip4
ENSG00000184032,KRTAP20-2,,
ENSG00000206104,KRTAP20-3,,
ENSG00000231068,KRTAP21-3,,
ENSG00000236400,KRTAP21-4P,,
ENSG00000187026,KRTAP21-2,,
ENSG00000187005,KRTAP21-1,,
ENSG00000186980,KRTAP23-1,,
ENSG00000240432,KRTAP13-3,ENSMUSG00000068078,Krtap13-20
ENSG00000240432,KRTAP13-3,ENSMUSG00000050224,Krtap13
ENSG00000240432,KRTAP13-3,ENSMUSG00000009047,Krtap13-23
ENSG00000240432,KRTAP13-3,ENSMUSG00000048830,Krtap13-21
ENSG00000240432,KRTAP13-3,ENSMUSG00000116636,Krtap13-24
ENSG00000252273,RNU6-426P,,
ENSG00000214976,VDAC2P1,,
ENSG00000224602,RPS26P5,,
ENSG00000285331,TCF12-DT,,
ENSG00000201025,SNORD74B,ENSMUSG00000064440,Gm26224
ENSG00000270139,,,
ENSG00000287066,,,
ENSG00000169075,BRD7P3,,
ENSG00000280432,,,
ENSG00000207638,MIR99A,ENSMUSG00000065530,Mir99a
ENSG00000218180,SLC25A5P7,,
ENSG00000199030,MIRLET7C,ENSMUSG00000065557,Mirlet7c-1
ENSG00000269950,,,
ENSG00000207863,MIR125B2,,
ENSG00000239023,RNU1-98P,,
ENSG00000156299,TIAM1,ENSMUSG00000002489,Tiam1
ENSG00000236920,,,
ENSG00000186350,RXRA,ENSMUSG00000015846,Rxra
ENSG00000287596,,,
ENSG00000079950,STX7,ENSMUSG00000019998,Stx7
ENSG00000104043,ATP8B4,ENSMUSG00000060131,Atp8b4
ENSG00000178665,ZNF713,,
ENSG00000139291,TMEM19,ENSMUSG00000069520,Tmem19
ENSG00000276169,MIR6871,,
ENSG00000157881,PANK4,ENSMUSG00000029056,Pank4
ENSG00000272407,,,
ENSG00000242748,RPL23AP81,,
ENSG00000263989,RN7SL615P,,
ENSG00000228210,RPL7AP12,,
ENSG00000171867,PRNP,ENSMUSG00000079037,Prnp
ENSG00000224484,,,
ENSG00000224706,RPS17P13,,
ENSG00000271148,,,
ENSG00000236531,,,
ENSG00000171864,PRND,ENSMUSG00000027338,Prnd
ENSG00000253299,UFM1P3,,
ENSG00000279738,,,
ENSG00000279785,,,
ENSG00000207227,RNU6-900P,ENSMUSG00000065747,Gm25006
ENSG00000253748,CYP4F44P,,
ENSG00000287521,,,
ENSG00000278948,,,
ENSG00000128346,C22orf23,ENSMUSG00000033029,1700088E04Rik
ENSG00000154118,JPH3,ENSMUSG00000025318,Jph3
ENSG00000164794,KCNV1,ENSMUSG00000022342,Kcnv1
ENSG00000180259,PRNT,,
ENSG00000106070,GRB10,ENSMUSG00000020176,Grb10
ENSG00000257858,MTND1P24,,
ENSG00000256070,,,
ENSG00000279444,,,
ENSG00000231071,IDI1P3,,
ENSG00000111058,ACSS3,ENSMUSG00000035948,Acss3
ENSG00000101265,RASSF2,ENSMUSG00000027339,Rassf2
ENSG00000156467,UQCRB,ENSMUSG00000021520,Uqcrb
ENSG00000228694,MTND4P18,,
ENSG00000225155,TOMM22P5,,
ENSG00000287779,,,
ENSG00000177613,CSTF2T,ENSMUSG00000053536,Cstf2t
ENSG00000270945,HSPE1P7,,
ENSG00000220311,RPL35AP18,,
ENSG00000146410,MTFR2,ENSMUSG00000019992,Mtfr2
ENSG00000140937,CDH11,ENSMUSG00000031673,Cdh11
ENSG00000270648,CYP2C61P,,
ENSG00000213390,ARHGAP19,ENSMUSG00000025154,Arhgap19
ENSG00000254672,WEE2P1,,
ENSG00000169550,MUC15,ENSMUSG00000050808,Muc15
ENSG00000173376,NDNF,ENSMUSG00000049001,Ndnf
ENSG00000235137,HSP90AB6P,,
ENSG00000272329,,,
ENSG00000272582,,,
ENSG00000100142,POLR2F,ENSMUSG00000033020,Polr2f
ENSG00000222472,RN7SKP7,,
ENSG00000120694,HSPH1,ENSMUSG00000029657,Hsph1
ENSG00000287069,,,
ENSG00000167081,PBX3,ENSMUSG00000038718,Pbx3
ENSG00000172940,SLC22A13,ENSMUSG00000092212,Slc22a13b
ENSG00000172940,SLC22A13,ENSMUSG00000074028,Slc22a13
ENSG00000196406,SPANXD,,
ENSG00000230130,MTND2P39,,
ENSG00000235598,RRM2P4,,
ENSG00000133135,RNF128,ENSMUSG00000031438,Rnf128
ENSG00000021300,PLEKHB1,ENSMUSG00000030701,Plekhb1
ENSG00000244005,NFS1,ENSMUSG00000027618,Nfs1
ENSG00000163116,STPG2,ENSMUSG00000047940,Stpg2
ENSG00000288358,MIR3159,,
ENSG00000288299,LDHA,,
ENSG00000216639,RPL7AP35,,
ENSG00000217067,,,
ENSG00000231897,MARK2P14,,
ENSG00000232389,,,
ENSG00000001561,ENPP4,ENSMUSG00000023961,Enpp4
ENSG00000226216,RPS12P5,,
ENSG00000175928,LRRN1,ENSMUSG00000034648,Lrrn1
ENSG00000225387,,,
ENSG00000153989,NUS1,ENSMUSG00000023068,Nus1
ENSG00000048707,VPS13D,ENSMUSG00000020220,Vps13d
ENSG00000250219,LTV1P1,,
ENSG00000250363,KRT18P21,,
ENSG00000287520,,,
ENSG00000234748,,,
ENSG00000271302,,,
ENSG00000226388,ELL2P4,,
ENSG00000271971,,,
ENSG00000249717,PARM1-AS1,,
ENSG00000271208,,,
ENSG00000254118,MTCYBP20,,
ENSG00000102243,VGLL1,ENSMUSG00000031131,Vgll1
ENSG00000184423,RPL23AP38,,
ENSG00000183663,GAPDHP30,,
ENSG00000249885,ARHGEF38-IT1,,
ENSG00000253260,,,
ENSG00000112701,SENP6,ENSMUSG00000034252,Senp6
ENSG00000234123,RHBDF1P1,,
ENSG00000250149,,,
ENSG00000253585,,,
ENSG00000257475,,,
ENSG00000104341,LAPTM4B,ENSMUSG00000022257,Laptm4b
ENSG00000257308,,,
ENSG00000164037,SLC9B1,ENSMUSG00000050150,Slc9b1
ENSG00000167779,IGFBP6,ENSMUSG00000023046,Igfbp6
ENSG00000230465,VENTXP4,,
ENSG00000224094,RPS24P8,,
ENSG00000230111,H3P11,,
ENSG00000183960,KCNH8,ENSMUSG00000035580,Kcnh8
ENSG00000113318,MSH3,ENSMUSG00000014850,Msh3
ENSG00000231686,ANKRD11P2,,
ENSG00000176289,IDSP1,,
ENSG00000155495,MAGEC1,ENSMUSG00000046180,Magea13
ENSG00000224885,EIPR1-IT1,,
ENSG00000231948,HS1BP3-IT1,,
ENSG00000162981,LRATD1,ENSMUSG00000020607,Lratd1
ENSG00000182508,LHFPL1,ENSMUSG00000041700,Lhfpl1
ENSG00000166171,DPCD,ENSMUSG00000041035,Dpcd
ENSG00000269373,,,
ENSG00000185010,F8,ENSMUSG00000031196,F8
ENSG00000269138,ZNF209P,,
ENSG00000267886,,,
ENSG00000227718,,,
ENSG00000279377,,,
ENSG00000284289,MIR6820,,
ENSG00000284266,MIR4534,,
ENSG00000222044,,,
ENSG00000282732,,,
ENSG00000268830,BNIP3P32,,
ENSG00000273214,,,
ENSG00000151693,ASAP2,ENSMUSG00000052632,Asap2
ENSG00000100151,PICK1,ENSMUSG00000068206,Pick1
ENSG00000284428,,,
ENSG00000249870,,,
ENSG00000248883,B4GALNT2P1,,
ENSG00000131480,AOC2,ENSMUSG00000078651,Aoc2
ENSG00000213849,RPL31P18,,
ENSG00000259293,LIPC-AS1,,
ENSG00000172867,KRT2,ENSMUSG00000064201,Krt2
ENSG00000129038,LOXL1,ENSMUSG00000032334,Loxl1
ENSG00000114353,GNAI2,ENSMUSG00000032562,Gnai2
ENSG00000254025,BRIX1P1,,
ENSG00000253271,,,
ENSG00000118620,ZNF430,ENSMUSG00000058246,Krbox5
ENSG00000215264,RPL10AP3,,
ENSG00000255361,RPL7L1P17,,
ENSG00000147432,CHRNB3,ENSMUSG00000031492,Chrnb3
ENSG00000154945,ANKRD40,ENSMUSG00000020864,Ankrd40
ENSG00000279033,,,
ENSG00000242747,RPL21P14,,
ENSG00000280639,LINC02204,,
ENSG00000259362,,,
ENSG00000259740,,,
ENSG00000285253,,,
ENSG00000258214,,,
ENSG00000177425,PAWR,ENSMUSG00000035873,Pawr
ENSG00000103091,WDR59,ENSMUSG00000031959,Wdr59
ENSG00000253828,MTND2P38,,
ENSG00000278963,,,
ENSG00000245970,RPL30-AS1,,
ENSG00000108798,ABI3,ENSMUSG00000018381,Abi3
ENSG00000034239,CLXN,ENSMUSG00000068617,Clxn
ENSG00000269012,KRT18P40,,
ENSG00000196109,ZNF676,,
ENSG00000259528,,,
ENSG00000140506,LMAN1L,ENSMUSG00000056271,Lman1l
ENSG00000166169,POLL,ENSMUSG00000025218,Poll
ENSG00000167232,ZNF91,,
ENSG00000185437,SH3BGR,ENSMUSG00000040666,Sh3bgr
ENSG00000119487,MAPKAP1,ENSMUSG00000038696,Mapkap1
ENSG00000258090,,,
ENSG00000111110,PPM1H,ENSMUSG00000034613,Ppm1h
ENSG00000271661,BNIP3P36,,
ENSG00000186529,CYP4F3,ENSMUSG00000003484,Cyp4f18
ENSG00000228717,NAB1P1,,
ENSG00000215054,HNRNPCP10,,
ENSG00000227183,HDGFP1,,
ENSG00000183631,PRR32,ENSMUSG00000037086,Prr32
ENSG00000224314,TCERG1P1,,
ENSG00000271211,,,
ENSG00000235699,CXorf51B,,
ENSG00000280393,,,
ENSG00000155966,AFF2,ENSMUSG00000031189,Aff2
ENSG00000254079,SRSF3P2,,
ENSG00000233380,RPS2P48,,
ENSG00000254273,,,
ENSG00000173714,WFIKKN2,ENSMUSG00000044177,Wfikkn2
ENSG00000253677,UBE2HP1,,
ENSG00000180543,TSPYL5,ENSMUSG00000038984,Tspyl5
ENSG00000280479,CACFD1,,
ENSG00000243521,RPL5P33,,
ENSG00000156486,KCNS2,ENSMUSG00000050963,Kcns2
ENSG00000258271,,,
ENSG00000183978,COA3,ENSMUSG00000017188,Coa3
ENSG00000253171,,,
ENSG00000287654,,,
ENSG00000272155,,,
ENSG00000139644,TMBIM6,ENSMUSG00000023010,Tmbim6
ENSG00000167083,GNGT2,ENSMUSG00000038811,Gngt2
ENSG00000253509,,,
ENSG00000254236,,,
ENSG00000278914,,,
ENSG00000253977,MTCO2P4,,
ENSG00000254057,,,
ENSG00000253493,,,
ENSG00000259607,,,
ENSG00000230044,CDK8P1,,
ENSG00000231610,PIK3CDP1,,
ENSG00000103248,MTHFSD,ENSMUSG00000031816,Mthfsd
ENSG00000197275,RAD54B,ENSMUSG00000078773,Rad54b
ENSG00000287881,,,
ENSG00000259593,MTND5P40,,
ENSG00000229370,,,
ENSG00000169006,NTSR2,ENSMUSG00000020591,Ntsr2
ENSG00000160221,GATD3,ENSMUSG00000053329,Gatd3a
ENSG00000125995,ROMO1,ENSMUSG00000067847,Romo1
ENSG00000249002,,,
ENSG00000135220,UGT2A3,ENSMUSG00000035780,Ugt2a3
ENSG00000156958,GALK2,ENSMUSG00000027207,Galk2
ENSG00000271315,,,
ENSG00000233416,RPS25P3,,
ENSG00000224604,,,
ENSG00000223530,,,
ENSG00000084754,HADHA,ENSMUSG00000025745,Hadha
ENSG00000050730,TNIP3,ENSMUSG00000044162,Tnip3
ENSG00000281165,SLC2A6,,
ENSG00000249658,,,
ENSG00000060303,RPS17P5,,
ENSG00000228082,SIM1-AS1,,
ENSG00000112234,FBXL4,ENSMUSG00000040410,Fbxl4
ENSG00000131051,RBM39,ENSMUSG00000027620,Rbm39
ENSG00000108846,ABCC3,ENSMUSG00000020865,Abcc3
ENSG00000233739,,,
ENSG00000272720,,,
ENSG00000128298,BAIAP2L2,ENSMUSG00000018126,Baiap2l2
ENSG00000260640,,,
ENSG00000253784,,,
ENSG00000104517,UBR5,ENSMUSG00000037487,Ubr5
ENSG00000187676,B3GLCT,ENSMUSG00000051950,B3glct
ENSG00000198833,UBE2J1,ENSMUSG00000028277,Ube2j1
ENSG00000161179,YDJC,ENSMUSG00000041774,Ydjc
ENSG00000268794,VN1R90P,,
ENSG00000268362,,,
ENSG00000118690,ARMC2,ENSMUSG00000071324,Armc2
ENSG00000198157,HMGN5,ENSMUSG00000031245,Hmgn5
ENSG00000229427,ANKRD26P4,,
ENSG00000180776,ZDHHC20,ENSMUSG00000021969,Zdhhc20
ENSG00000161180,CCDC116,ENSMUSG00000022768,Ccdc116
ENSG00000250145,,,
ENSG00000134061,CD180,ENSMUSG00000021624,Cd180
ENSG00000236452,,,
ENSG00000281879,ABO,,
ENSG00000163512,AZI2,ENSMUSG00000039285,Azi2
ENSG00000280348,,,
ENSG00000279463,,,
ENSG00000206617,RNY1P5,,
